spec,PAN,B1,B2,B3,B4
676,6.42E-01,1.00E-04,1.00E-04,9.01E-01,1.09E-02
677,6.42E-01,1.00E-04,1.00E-04,8.94E-01,8.90E-03
678,6.41E-01,1.00E-04,1.00E-04,8.88E-01,6.90E-03
679,6.41E-01,1.00E-04,1.00E-04,8.83E-01,5.90E-03
680,6.41E-01,1.00E-04,1.00E-04,8.78E-01,4.90E-03
681,6.42E-01,1.00E-04,1.00E-04,8.76E-01,4.90E-03
682,6.43E-01,1.00E-04,1.00E-04,8.75E-01,4.90E-03
683,6.45E-01,1.00E-04,1.00E-04,8.72E-01,4.40E-03
684,6.46E-01,1.00E-04,1.00E-04,8.69E-01,3.90E-03
685,6.49E-01,1.00E-04,1.00E-04,8.51E-01,4.40E-03
686,6.51E-01,1.00E-04,1.00E-04,8.33E-01,4.90E-03
687,6.52E-01,1.00E-04,1.00E-04,7.80E-01,5.90E-03
688,6.52E-01,1.00E-04,0.00E+00,7.28E-01,6.90E-03
689,6.52E-01,1.00E-04,0.00E+00,6.41E-01,8.90E-03
690,6.53E-01,1.00E-04,0.00E+00,5.55E-01,1.08E-02
691,6.51E-01,1.00E-04,0.00E+00,4.62E-01,1.33E-02
692,6.49E-01,2.00E-04,0.00E+00,3.69E-01,1.57E-02
693,6.47E-01,2.00E-04,0.00E+00,2.95E-01,1.52E-02
694,6.45E-01,2.00E-04,0.00E+00,2.21E-01,1.47E-02
695,6.42E-01,2.00E-04,0.00E+00,1.75E-01,1.18E-02
696,6.39E-01,2.00E-04,0.00E+00,1.29E-01,8.80E-03
697,6.37E-01,2.00E-04,0.00E+00,1.03E-01,6.90E-03
698,6.35E-01,2.00E-04,0.00E+00,7.68E-02,4.90E-03
699,6.32E-01,1.00E-04,0.00E+00,6.20E-02,3.90E-03
700,6.30E-01,1.00E-04,0.00E+00,4.72E-02,2.90E-03
701,6.26E-01,1.00E-04,0.00E+00,3.88E-02,2.40E-03
702,6.23E-01,1.00E-04,0.00E+00,3.05E-02,2.00E-03
703,6.20E-01,1.00E-04,0.00E+00,2.55E-02,2.00E-03
704,6.17E-01,1.00E-04,0.00E+00,2.06E-02,2.00E-03
705,6.14E-01,0.00E+00,0.00E+00,1.77E-02,2.00E-03
706,6.11E-01,0.00E+00,0.00E+00,1.47E-02,2.00E-03
707,6.10E-01,0.00E+00,0.00E+00,1.27E-02,2.00E-03
708,6.09E-01,0.00E+00,0.00E+00,1.08E-02,2.00E-03
709,6.11E-01,0.00E+00,0.00E+00,9.80E-03,2.00E-03
710,6.12E-01,0.00E+00,0.00E+00,8.80E-03,2.00E-03
711,6.15E-01,0.00E+00,0.00E+00,7.80E-03,2.00E-03
712,6.17E-01,0.00E+00,0.00E+00,6.80E-03,1.90E-03
713,6.21E-01,0.00E+00,0.00E+00,6.30E-03,1.90E-03
714,6.24E-01,0.00E+00,0.00E+00,5.90E-03,1.90E-03
715,6.28E-01,0.00E+00,0.00E+00,5.40E-03,1.90E-03
716,6.33E-01,0.00E+00,0.00E+00,4.90E-03,1.90E-03
717,6.36E-01,0.00E+00,0.00E+00,4.40E-03,1.90E-03
718,6.40E-01,0.00E+00,0.00E+00,3.90E-03,1.90E-03
719,6.42E-01,0.00E+00,0.00E+00,3.90E-03,1.90E-03
720,6.43E-01,0.00E+00,0.00E+00,3.90E-03,1.90E-03
721,6.44E-01,0.00E+00,0.00E+00,3.40E-03,1.90E-03
722,6.45E-01,0.00E+00,0.00E+00,2.90E-03,1.90E-03
723,6.45E-01,0.00E+00,0.00E+00,2.90E-03,1.90E-03
724,6.45E-01,0.00E+00,0.00E+00,2.90E-03,1.90E-03
725,6.45E-01,0.00E+00,0.00E+00,2.90E-03,1.90E-03
726,6.44E-01,0.00E+00,0.00E+00,2.90E-03,1.90E-03
727,6.43E-01,0.00E+00,0.00E+00,2.90E-03,1.90E-03
728,6.43E-01,0.00E+00,0.00E+00,2.90E-03,1.90E-03
729,6.42E-01,0.00E+00,0.00E+00,2.90E-03,1.90E-03
730,6.41E-01,0.00E+00,0.00E+00,2.90E-03,1.90E-03
731,6.40E-01,0.00E+00,0.00E+00,2.90E-03,1.90E-03
732,6.39E-01,0.00E+00,0.00E+00,2.90E-03,1.90E-03
733,6.36E-01,0.00E+00,0.00E+00,2.90E-03,1.90E-03
734,6.34E-01,0.00E+00,0.00E+00,2.90E-03,1.90E-03
735,6.31E-01,0.00E+00,0.00E+00,2.90E-03,1.90E-03
736,6.29E-01,0.00E+00,0.00E+00,2.90E-03,1.90E-03
737,6.26E-01,0.00E+00,0.00E+00,2.90E-03,1.90E-03
738,6.23E-01,0.00E+00,0.00E+00,2.90E-03,1.90E-03
739,6.21E-01,0.00E+00,0.00E+00,2.90E-03,2.40E-03
740,6.19E-01,0.00E+00,0.00E+00,2.90E-03,2.90E-03
741,6.18E-01,0.00E+00,0.00E+00,2.90E-03,2.90E-03
742,6.16E-01,0.00E+00,0.00E+00,2.90E-03,2.90E-03
743,6.16E-01,0.00E+00,0.00E+00,2.90E-03,2.90E-03
744,6.15E-01,0.00E+00,0.00E+00,2.90E-03,2.90E-03
745,6.15E-01,0.00E+00,0.00E+00,3.40E-03,3.40E-03
746,6.16E-01,0.00E+00,0.00E+00,3.90E-03,3.90E-03
747,6.16E-01,0.00E+00,0.00E+00,3.90E-03,4.40E-03
748,6.16E-01,0.00E+00,0.00E+00,3.90E-03,4.80E-03
749,6.17E-01,0.00E+00,0.00E+00,3.90E-03,5.30E-03
750,6.19E-01,0.00E+00,0.00E+00,3.90E-03,5.80E-03
751,6.20E-01,0.00E+00,0.00E+00,4.40E-03,7.30E-03
752,6.21E-01,0.00E+00,0.00E+00,4.90E-03,8.70E-03
753,6.24E-01,0.00E+00,0.00E+00,5.30E-03,1.06E-02
754,6.27E-01,0.00E+00,0.00E+00,5.80E-03,1.26E-02
755,6.31E-01,0.00E+00,0.00E+00,5.80E-03,1.64E-02
756,6.35E-01,0.00E+00,0.00E+00,5.80E-03,2.03E-02
757,6.41E-01,0.00E+00,0.00E+00,6.30E-03,2.81E-02
758,6.47E-01,0.00E+00,0.00E+00,6.80E-03,3.58E-02
759,6.53E-01,0.00E+00,0.00E+00,7.30E-03,5.04E-02
760,6.58E-01,0.00E+00,0.00E+00,7.80E-03,6.48E-02
761,6.65E-01,0.00E+00,0.00E+00,8.30E-03,9.39E-02
762,6.72E-01,0.00E+00,0.00E+00,8.70E-03,1.23E-01
763,6.80E-01,0.00E+00,0.00E+00,8.70E-03,1.74E-01
764,6.87E-01,0.00E+00,0.00E+00,8.70E-03,2.26E-01
765,6.95E-01,0.00E+00,0.00E+00,9.20E-03,3.01E-01
766,7.02E-01,0.00E+00,0.00E+00,9.70E-03,3.77E-01
767,7.09E-01,0.00E+00,0.00E+00,9.70E-03,4.58E-01
768,7.17E-01,0.00E+00,0.00E+00,9.70E-03,5.39E-01
769,7.23E-01,0.00E+00,0.00E+00,1.02E-02,5.99E-01
770,7.29E-01,0.00E+00,0.00E+00,1.07E-02,6.59E-01
771,7.34E-01,0.00E+00,0.00E+00,1.07E-02,6.89E-01
772,7.39E-01,0.00E+00,0.00E+00,1.07E-02,7.20E-01
773,7.43E-01,0.00E+00,0.00E+00,1.07E-02,7.33E-01
774,7.48E-01,0.00E+00,0.00E+00,1.07E-02,7.46E-01
